date,time,profile_name,tutorial_entered_at,play_entered_at,play_ended_at,total_game_time_s,score_a,score_b,a_joint1_distance_rad,a_joint2_distance_rad,a_joint3_distance_rad,a_joint4_distance_rad,a_joint5_distance_rad,a_joint6_distance_rad,b_joint1_distance_rad,b_joint2_distance_rad,b_joint3_distance_rad,b_joint4_distance_rad,b_joint5_distance_rad,b_joint6_distance_rad
2026-07-09,14-43-21,two_teams,2026-07-09T14:43:21.181856+08:00,2026-07-09T14:44:51.214555+08:00,2026-07-09T14:49:51.300208+08:00,390.118,5,0,7.898567,4.800669,3.917303,11.329873,15.058122,8.245540,0.445242,0.422381,0.404388,0.416977,0.498320,0.318859
2026-07-09,14-51-12,two_teams,2026-07-09T14:51:12.182365+08:00,2026-07-09T14:52:42.194991+08:00,2026-07-09T14:57:42.324727+08:00,390.142,19,52,0.462317,0.353885,0.347803,0.386577,0.383195,0.279995,7.679340,4.841165,6.565555,7.549584,11.665335,16.727678
2026-07-09,14-58-58,two_teams,2026-07-09T14:58:58.459967+08:00,2026-07-09T15:00:28.468588+08:00,2026-07-09T15:05:28.561728+08:00,390.102,37,0,6.835810,9.359197,14.395849,19.099661,12.011140,10.770439,7.313890,6.739842,7.547908,3.881300,6.211085,5.645423
2026-07-09,15-06-29,two_teams,2026-07-09T15:06:29.643758+08:00,2026-07-09T15:07:59.669269+08:00,2026-07-09T15:12:59.752513+08:00,390.109,11,0,10.559515,3.230641,4.892974,25.450984,8.770977,12.871362,7.802944,5.297161,6.933913,10.170383,9.815661,8.805297
2026-07-09,15-14-06,two_teams,2026-07-09T15:14:06.859841+08:00,2026-07-09T15:15:36.885930+08:00,2026-07-09T15:20:37.000008+08:00,390.140,46,118,4.964026,5.267060,8.428947,13.447371,19.671190,12.425971,5.384990,4.986615,6.874797,21.338616,14.564222,9.155349
2026-07-09,15-22-47,two_teams,2026-07-09T15:22:47.931295+08:00,2026-07-09T15:24:17.956120+08:00,2026-07-09T15:29:18.020627+08:00,390.089,0,0,16.464189,7.384294,12.061053,8.920806,8.529332,4.892868,8.182729,4.258447,3.566889,7.930741,4.866318,9.698486
2026-07-09,15-30-09,two_teams,2026-07-09T15:30:09.840510+08:00,2026-07-09T15:31:39.851109+08:00,2026-07-09T15:36:39.966260+08:00,390.126,42,0,9.224270,12.821688,8.029994,23.126243,18.608375,29.393092,7.822474,10.112381,9.771533,6.546067,10.198280,24.109060
2026-07-09,15-37-39,two_teams,2026-07-09T15:37:39.493925+08:00,2026-07-09T15:39:09.500714+08:00,2026-07-09T15:44:09.566214+08:00,390.072,49,6,15.328792,7.690006,9.302723,7.642620,9.598090,14.313525,13.033707,12.763119,13.217450,11.674777,19.697811,13.790967
2026-07-09,15-45-12,two_teams,2026-07-09T15:45:12.094966+08:00,2026-07-09T15:46:42.122365+08:00,2026-07-09T15:51:42.204436+08:00,390.109,64,124,6.670807,6.713673,3.816041,2.587798,5.919379,4.353437,13.255403,14.056732,16.290567,23.890029,4.355611,3.732287
2026-07-09,15-52-44,two_teams,2026-07-09T15:52:44.228594+08:00,2026-07-09T15:54:14.254370+08:00,2026-07-09T15:59:14.360504+08:00,390.132,0,0,9.348361,7.269905,7.408736,7.147799,14.294033,11.822053,7.324659,2.776194,3.860851,9.366501,5.666327,10.119364
2026-07-09,16-08-44,two_teams,2026-07-09T16:08:44.944429+08:00,2026-07-09T16:10:14.970609+08:00,2026-07-09T16:15:15.085505+08:00,390.141,58,11,3.827128,8.047228,8.465172,6.179393,20.138607,10.273130,3.744262,4.276901,1.872437,2.735687,3.986285,3.475098
2026-07-09,16-16-08,two_teams,2026-07-09T16:16:08.850584+08:00,2026-07-09T16:17:38.860689+08:00,2026-07-09T16:22:38.980422+08:00,390.130,8,0,5.521466,16.783176,14.177322,13.161008,19.916845,18.855591,6.256329,11.304795,13.778462,8.492168,9.999161,17.529250
2026-07-09,16-27-13,two_teams,2026-07-09T16:27:13.974421+08:00,2026-07-09T16:28:43.997214+08:00,2026-07-09T16:33:44.117086+08:00,390.143,75,0,9.355647,9.133328,9.080916,14.704282,7.627017,7.600882,3.831270,6.089900,4.672111,9.633110,4.187286,3.483183
2026-07-09,16-42-46,two_teams,2026-07-09T16:42:46.395871+08:00,2026-07-09T16:44:16.422693+08:00,2026-07-09T16:49:16.555451+08:00,390.160,21,0,8.298018,10.018124,11.098680,14.016623,15.065509,11.462612,0.425638,0.414615,0.460705,0.412889,0.489021,0.321218
2026-07-09,16-58-17,two_teams,2026-07-09T16:58:17.599354+08:00,2026-07-09T16:59:47.609065+08:00,2026-07-09T17:04:47.699988+08:00,390.101,20,0,5.940277,10.754036,12.197104,17.132230,15.326295,12.172085,0.417083,0.418479,0.451567,0.419798,0.498439,0.311259
2026-07-09,17-33-12,two_teams,2026-07-09T17:33:12.614537+08:00,2026-07-09T17:34:42.641227+08:00,2026-07-09T17:57:44.158752+08:00,1471.544,12,8,6.608291,6.148527,4.419783,8.047930,11.684079,5.242219,5.204718,10.799914,9.842235,11.721500,5.266657,4.552808
2026-07-09,17-58-49,two_teams,2026-07-09T17:58:49.154711+08:00,2026-07-09T18:00:19.180466+08:00,2026-07-09T18:05:19.197871+08:00,390.043,0,0,0.498220,0.382811,0.367708,0.413686,0.400721,0.300905,0.445067,0.439629,0.427574,0.433693,0.526376,0.330382
2026-07-09,18-08-31,two_teams,2026-07-09T18:08:31.229110+08:00,2026-07-09T18:10:01.249936+08:00,2026-07-09T18:15:01.350922+08:00,390.122,6,0,1.840054,1.361474,1.107778,1.968253,3.819521,3.952551,0.408552,0.421142,0.421607,0.409460,0.496976,0.328305
2026-07-09,18-36-06,two_teams,2026-07-09T18:36:06.833155+08:00,2026-07-09T18:37:36.844041+08:00,2026-07-09T18:42:36.962953+08:00,390.130,17,0,10.529329,13.508660,10.465929,15.600539,15.687115,34.671077,0.424336,0.420021,0.480772,0.410244,0.490162,0.314020
2026-07-09,18-44-00,two_teams,2026-07-09T18:44:00.770973+08:00,2026-07-09T18:45:30.781189+08:00,2026-07-09T18:50:39.849691+08:00,399.079,0,0,1.472725,2.080667,1.809929,2.729833,9.620136,5.450638,0.410935,0.434196,0.413569,0.437963,0.518990,0.325022
2026-07-10,11-04-24,two_teams,2026-07-10T11:04:24.277879+08:00,2026-07-10T11:05:52.177530+08:00,2026-07-10T11:10:52.323263+08:00,388.045,39,0,5.293990,7.498400,6.953037,9.195475,3.578319,3.496914,1.538037,2.621781,4.283213,2.674349,5.075724,8.188116
2026-07-10,11-12-08,two_teams,2026-07-10T11:12:08.309238+08:00,2026-07-10T11:13:19.086949+08:00,2026-07-10T11:18:19.219673+08:00,370.910,49,0,2.990401,3.655425,3.105170,10.394610,3.562638,6.666330,2.173839,3.399254,4.489429,6.094137,6.675231,13.279509
2026-07-10,11-19-46,two_teams,2026-07-10T11:19:46.636544+08:00,2026-07-10T11:21:16.645781+08:00,2026-07-10T11:26:16.769873+08:00,390.133,9,0,2.515262,0.412521,0.414674,0.407566,0.404374,0.291691,1.172603,0.436573,0.413997,0.416913,0.487088,0.320277
2026-07-10,11-27-16,two_teams,2026-07-10T11:27:16.134252+08:00,2026-07-10T11:28:14.454144+08:00,2026-07-10T11:33:33.037207+08:00,376.903,50,43,19.876042,12.659344,15.418900,22.405662,16.625122,25.859966,6.959104,15.955610,31.280997,22.119532,7.397216,3.810641
